timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-28T16:00	baseline	query	-	54.3	baseline	-	初始评估: Dim9=2, Dim3=4, Dim4=6	dry_run
2026-05-28T16:00	baseline	briefing	-	54.6	baseline	-	初始评估: Dim9=3, Dim4=4, Dim3=5	dry_run
2026-05-28T16:00	baseline	flow	-	60.2	baseline	-	初始评估: Dim3=5, Dim4=7, Dim2=8	dry_run
2026-05-28T16:00	baseline	task	-	61.4	baseline	-	初始评估: Dim3=6, Dim9=5	dry_run
2026-05-28T16:00	baseline	ingest	-	61.8	baseline	-	初始评估: Dim9=4, Dim3=7	dry_run
2026-05-28T16:00	baseline	project	-	62.0	baseline	-	初始评估: Dim3=5	dry_run
2026-05-28T16:00	baseline	retro	-	62.0	baseline	-	初始评估: Dim9=4, Dim3=7	dry_run
2026-05-28T16:00	baseline	health	-	62.4	baseline	-	初始评估: Dim2=8(编号重复), Dim7=8	dry_run
2026-05-28T16:00	baseline	meeting	-	63.6	baseline	-	初始评估: Dim9=5(碎片化), Dim3=7	dry_run
2026-05-28T16:00	baseline	review	-	64.1	baseline	-	初始评估: Dim9=3, Dim3=6	dry_run
2026-05-28T16:00	baseline	note	-	66.6	baseline	-	初始评估: Dim3=7, Dim9=6	dry_run
2026-05-28T16:00	baseline	decide	-	68.3	baseline	-	初始评估: Dim3=7, Dim9=7	dry_run
2026-05-28T16:05	3ab3a59	query	54.3	86.6	keep	dim3+dim9	新增失败处理6条+反模式6条	full_test
2026-05-28T16:05	67e0ee7	briefing	54.6	84.3	keep	dim3+dim4+dim9	新增失败处理6条+反模式6条+修复Step2b矛盾	full_test
2026-05-28T16:05	a4fbd93	flow	60.2	83.0	keep	dim3	新增失败处理5条(空archives/模板缺失/同名冲突/未知trigger)	dry_run
2026-05-28T16:05	f2b9d80	task	61.4	83.0	keep	dim3+dim9	新增失败处理6条+反模式6条	dry_run
2026-05-28T16:05	a08e946	ingest	61.8	83.0	keep	dim3+dim9	新增失败处理6条+反模式4条	dry_run
2026-05-28T16:05	a08e946	project	62.0	82.0	keep	dim3	新增失败处理6条	dry_run
2026-05-28T16:05	99fce3a	retro	62.0	84.0	keep	dim3+dim9	新增反模式5条+失败处理6条	dry_run
2026-05-28T16:05	99fce3a	health	62.4	82.0	keep	dim2	修复Quick/Full模式检查6编号重复	dry_run
2026-05-28T16:05	99fce3a	meeting	63.6	84.0	keep	dim3+dim9	新增反模式6条+失败处理6条	dry_run
2026-05-28T16:05	5ab6ddf	review	64.1	84.0	keep	dim9	新增反模式5条	dry_run
2026-05-28T16:05	5ab6ddf	note	66.6	85.0	keep	dim3+dim9	新增反模式6条+失败处理5条	dry_run
2026-05-28T16:05	5ab6ddf	decide	68.3	85.0	keep	dim3+dim9	新增反模式5条+失败处理5条	dry_run
